Campanha,Status de veiculação,Resultados,Alcance,Impressões,Custo por resultado,Classificação de qualidade,Valor usado (BRL),Frequência,Cliques no link,CPC (custo por clique no link),Cliques no link únicos,CTR único (taxa de cliques no link),Custo por clique único (todos),Cadastros,Custo por cadastro,Início dos relatórios,Término dos relatórios
2023-JUNHO-17,inactive,358017.0,358017,359480,2.85,–,1020.0,1.0040864,186.0,5.48387097,184.0,0.05139421,2.46973366,,,2023-06-01,2023-11-30
2023-JUNHO-18,completed,642690.0,642690,645149,1.56,–,1000.0,1.00382611,386.0,2.59067358,386.0,0.06006006,1.84501845,,,2023-06-01,2023-11-30
2023-JUNHO-19,inactive,642690.0,642690,645149,1.56,–,1000.0,1.00382611,386.0,2.59067358,386.0,0.06006006,1.84501845,,,2023-06-01,2023-11-30
2023-JUNHO-20,completed,707878.0,707878,707878,1.34,–,950.0,1.0,460.0,2.06521739,459.0,0.06484168,1.43721634,,,2023-06-01,2023-11-30
2023-JUNHO-21,inactive,707878.0,707878,707878,1.34,–,950.0,1.0,460.0,2.06521739,459.0,0.06484168,1.43721634,,,2023-06-01,2023-11-30
2023-JUNHO-22,completed,646454.0,646454,646454,1.47,–,950.0,1.0,769.0,1.23537061,765.0,0.11833789,1.03485839,,,2023-06-01,2023-11-30
2023-JUNHO-23,inactive,646454.0,646454,646454,1.47,–,950.0,1.0,769.0,1.23537061,765.0,0.11833789,1.03485839,,,2023-06-01,2023-11-30
2023-JUNHO-24,completed,571651.0,571651,572116,1.57,–,900.0,1.00081343,351.0,2.56410256,351.0,0.0614011,1.93548387,,,2023-06-01,2023-11-30
2023-JUNHO-25,inactive,571651.0,571651,572116,1.57,–,900.0,1.00081343,351.0,2.56410256,351.0,0.0614011,1.93548387,,,2023-06-01,2023-11-30
2023-JUNHO-26,completed,366649.0,366649,380946,2.09,–,765.0,1.0389937,1.0,765.0,1.0,0.00027274,0.72374645,,,2023-06-01,2023-11-30
2023-JUNHO-27,inactive,366649.0,366649,380946,2.09,–,765.0,1.0389937,1.0,765.0,1.0,0.00027274,0.72374645,,,2023-06-01,2023-11-30
