Campanha,Status de veiculação,Resultados,Alcance,Impressões,Custo por resultado,Classificação de qualidade,Valor usado (BRL),Frequência,Cliques no link,CPC (custo por clique no link),Cliques no link únicos,CTR único (taxa de cliques no link),Custo por clique único (todos),Cadastros,Custo por cadastro,Início dos relatórios,Término dos relatórios
2023-NOVEMBRO-30,inactive,1357.0,9168,12764,0.15,–,200.0,1.39223386,19.0,10.52631579,19.0,0.20724258,0.1510574,,,2023-06-01,2023-11-30
2023-NOVEMBRO-31,completed,940.0,3008,4806,0.21,–,200.0,1.59773936,,,,,0.21528525,,,2023-06-01,2023-11-30
2023-NOVEMBRO-32,inactive,940.0,3008,4806,0.21,–,200.0,1.59773936,,,,,0.21528525,,,2023-06-01,2023-11-30
2023-NOVEMBRO-33,completed,1536.0,10355,14530,0.13,–,200.0,1.40318687,30.0,6.66666667,30.0,0.28971511,0.13227513,,,2023-06-01,2023-11-30
2023-NOVEMBRO-34,inactive,1536.0,10355,14530,0.13,–,200.0,1.40318687,30.0,6.66666667,30.0,0.28971511,0.13227513,,,2023-06-01,2023-11-30
2023-JULHO-18,completed,40366.0,70992,111353,0.03,–,1160.0,1.56852885,13.0,89.23076923,13.0,0.01831192,0.2739726,,,2023-06-01,2023-11-30
2023-JULHO-19,completed,1759.0,8926,14892,0.23,–,400.0,1.66838449,3.0,133.33333333,3.0,0.03360968,0.22062879,,,2023-06-01,2023-11-30
2023-JULHO-20,inactive,1759.0,8926,14892,0.23,–,400.0,1.66838449,3.0,133.33333333,3.0,0.03360968,0.22062879,,,2023-06-01,2023-11-30
2023-JULHO-21,completed,1546.0,8280,12779,0.26,–,400.0,1.54335749,9.0,44.44444444,9.0,0.10869565,0.24875622,,,2023-06-01,2023-11-30
2023-JULHO-22,inactive,1546.0,8280,12779,0.26,–,400.0,1.54335749,9.0,44.44444444,9.0,0.10869565,0.24875622,,,2023-06-01,2023-11-30
2023-JULHO-23,completed,37061.0,57152,83682,0.01,–,360.0,1.46420073,1.0,360.0,1.0,0.00174972,0.2318094,,,2023-06-01,2023-11-30
2023-JULHO-24,inactive,37061.0,57152,83682,0.01,–,360.0,1.46420073,1.0,360.0,1.0,0.00174972,0.2318094,,,2023-06-01,2023-11-30
2023-SETEMBRO-24,completed,86772.0,118783,161405,0.01,–,600.0,1.35882239,175.0,3.42857143,175.0,0.14732748,0.41841004,,,2023-06-01,2023-11-30
2023-SETEMBRO-25,completed,29851.0,47616,52400,0.01,–,200.0,1.10047043,88.0,2.27272727,88.0,0.18481183,1.49253731,,,2023-06-01,2023-11-30
2023-SETEMBRO-26,inactive,29851.0,47616,52400,0.01,–,200.0,1.10047043,88.0,2.27272727,88.0,0.18481183,1.49253731,,,2023-06-01,2023-11-30
2023-SETEMBRO-27,completed,25636.0,41623,56105,0.01,–,200.0,1.34793263,,,,,0.17391304,,,2023-06-01,2023-11-30
2023-SETEMBRO-28,inactive,25636.0,41623,56105,0.01,–,200.0,1.34793263,,,,,0.17391304,,,2023-06-01,2023-11-30
2023-SETEMBRO-29,completed,31285.0,49648,52900,0.01,–,200.0,1.06550113,87.0,2.29885057,87.0,0.17523364,1.33333333,,,2023-06-01,2023-11-30
2023-SETEMBRO-30,inactive,31285.0,49648,52900,0.01,–,200.0,1.06550113,87.0,2.29885057,87.0,0.17523364,1.33333333,,,2023-06-01,2023-11-30
RESIDENCIA-MEDICA-2023-1,inactive,679.0,70369,156152,0.73,–,495.47,2.21904532,1058.0,0.46830813,990.0,1.4068695,0.37309488,,,2023-06-01,2023-11-30
RESIDENCIA-MEDICA-2023-2,not_delivering,679.0,70369,156152,0.73,–,495.47,2.21904532,1058.0,0.46830813,990.0,1.4068695,0.37309488,,,2023-06-01,2023-11-30
RESIDENCIA-MEDICA-2023-3,inactive,679.0,70369,156152,0.73,–,495.47,2.21904532,1058.0,0.46830813,990.0,1.4068695,0.37309488,,,2023-06-01,2023-11-30
RESIDENCIA-MEDICA-2023-4,inactive,458735.0,458735,462810,1.05,–,480.61,1.00888312,276.0,1.74134058,275.0,0.05994746,1.12555035,,,2023-06-01,2023-11-30
RESIDENCIA-MEDICA-2023-5,not_delivering,458735.0,458735,462810,1.05,–,480.61,1.00888312,276.0,1.74134058,275.0,0.05994746,1.12555035,,,2023-06-01,2023-11-30
RESIDENCIA-MEDICA-2023-6,inactive,458735.0,458735,462810,1.05,–,480.61,1.00888312,276.0,1.74134058,275.0,0.05994746,1.12555035,,,2023-06-01,2023-11-30
2023-MAIO-1,completed,,0,0,,–,0.0,0.0,,,,,,,,2023-06-01,2023-11-30
2023-MAIO-2,completed,,0,0,,–,0.0,0.0,,,,,,,,2023-06-01,2023-11-30
2023-MAIO-3,inactive,,0,0,,–,0.0,0.0,,,,,,,,2023-06-01,2023-11-30
2023-MAIO-4,completed,,0,0,,–,0.0,0.0,,,,,,,,2023-06-01,2023-11-30
2023-MAIO-5,inactive,,0,0,,–,0.0,0.0,,,,,,,,2023-06-01,2023-11-30
